Geração 74: Fitnesse Médio= 31735.4716, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 75: Fitnesse Médio= 31664.2674, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 76: Fitnesse Médio= 31946.7644, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 77: Fitnesse Médio= 31764.6495, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 78: Fitnesse Médio= 31697.2076, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 79: Fitnesse Médio= 31808.9297, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 80: Fitnesse Médio= 31736.9499, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 81: Fitnesse Médio= 31806.9669, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 82: Fitnesse Médio= 31434.0790, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 83: Fitnesse Médio= 31844.1623, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 84: Fitnesse Médio= 31617.4917, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 85: Fitnesse Médio= 31699.6489, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 86: Fitnesse Médio= 31745.2830, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 87: Fitnesse Médio= 32076.9229, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 88: Fitnesse Médio= 31574.6478, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 89: Fitnesse Médio= 31746.4604, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 90: Fitnesse Médio= 31638.1466, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 91: Fitnesse Médio= 31407.0801, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 92: Fitnesse Médio= 31551.1581, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 93: Fitnesse Médio= 31860.8112, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 94: Fitnesse Médio= 31741.8210, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 95: Fitnesse Médio= 31753.0634, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 96: Fitnesse Médio= 31817.2390, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 97: Fitnesse Médio= 31556.2016, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 98: Fitnesse Médio= 31830.6669, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 99: Fitnesse Médio= 31769.1479, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 100: Fitnesse Médio= 31681.5883, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 101: Fitnesse Médio= 31796.4283, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 102: Fitnesse Médio= 31975.7876, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 103: Fitnesse Médio= 31748.1057, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 104: Fitnesse Médio= 31839.6611, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 105: Fitnesse Médio= 31554.7912, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 106: Fitnesse Médio= 31611.3517, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 107: Fitnesse Médio= 32028.9126, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 108: Fitnesse Médio= 31801.0532, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 109: Fitnesse Médio= 31926.4521, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 110: Fitnesse Médio= 31611.2963, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 111: Fitnesse Médio= 31810.1290, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 112: Fitnesse Médio= 31871.0229, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 113: Fitnesse Médio= 31974.4373, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 114: Fitnesse Médio= 31654.7353, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 115: Fitnesse Médio= 31501.0269, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 116: Fitnesse Médio= 31680.3006, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 117: Fitnesse Médio= 31785.5385, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 118: Fitnesse Médio= 31779.2439, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 119: Fitnesse Médio= 31675.2231, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 120: Fitnesse Médio= 31641.1911, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 121: Fitnesse Médio= 31860.3109, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 122: Fitnesse Médio= 31680.9612, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 123: Fitnesse Médio= 31687.5734, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 124: Fitnesse Médio= 31961.7331, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 125: Fitnesse Médio= 31739.1845, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 126: Fitnesse Médio= 31959.7298, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 127: Fitnesse Médio= 31621.1662, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 128: Fitnesse Médio= 31714.0348, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 129: Fitnesse Médio= 31830.9253, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
Geração 130: Fitnesse Médio= 31628.6023, Melhor Fitness= 32409.0000, Melhor x: 4.0000, Melhor y: -2.0000.
